StatID,Stat,Value,Rank
1828,AvgFightTimeShort,3:06,1
970,AvgFightTimeShort,3:18,2
2761,AvgFightTimeShort,3:24,3
1865,AvgFightTimeShort,4:24,4
2608,AvgFightTimeShort,4:44,5
2076,AvgFightTimeShort,4:51,6
2634,AvgFightTimeShort,4:57,7
2782,AvgFightTimeShort,5:08,8
2750,AvgFightTimeShort,5:10,9
2198,AvgFightTimeShort,5:26,10
1057,AvgFightTimeLong,21:00,1
1495,AvgFightTimeLong,18:34,2
2280,AvgFightTimeLong,18:29,3
2317,AvgFightTimeLong,17:51,4
2731,AvgFightTimeLong,17:42,5
1052,AvgFightTimeLong,17:08,6
451,AvgFightTimeLong,16:59,7
2729,AvgFightTimeLong,16:26,8
942,AvgFightTimeLong,16:05,9
439,AvgFightTimeLong,15:34,10
451,TotFightTime,6:47:33,1
368,TotFightTime,6:05:33,2
326,TotFightTime,6:00:34,3
545,TotFightTime,5:50:23,4
461,TotFightTime,5:44:45,5
532,TotFightTime,5:44:24,6
439,TotFightTime,5:42:35,7
361,TotFightTime,5:38:31,8
1495,TotFightTime,5:34:12,9
509,TotFightTime,5:18:37,10
439,TakedownsLanded,90,1
514,TakedownsLanded,84,2
1495,TakedownsLanded,74,3
451,TakedownsLanded,67,4
459,TakedownsLanded,63,5
1137,TakedownsLanded,61,6
326,TakedownsLanded,60,7
2281,TakedownsLanded,52,8
1919,TakedownsLanded,52,8
374,TakedownsLanded,50,10
1386,TakedownDefense,97.60,1
549,TakedownDefense,95.00,2
2847,TakedownDefense,94.10,3
961,TakedownDefense,93.20,4
1527,TakedownDefense,92.30,5
514,TakedownDefense,92.10,6
1744,TakedownDefense,91.20,7
1991,TakedownDefense,90.90,8
1052,TakedownDefense,90.60,9
2158,TakedownDefense,89.30,10
471,TakedownAccuracy,76.20,1
2227,TakedownAccuracy,76.20,1
439,TakedownAccuracy,73.80,3
1970,TakedownAccuracy,65.50,4
2017,TakedownAccuracy,65.00,5
1618,TakedownAccuracy,64.70,6
2126,TakedownAccuracy,63.90,7
1706,TakedownAccuracy,63.00,8
1986,TakedownAccuracy,63.00,8
1867,TakedownAccuracy,60.90,10
509,SubmissionAttempts,40,1
524,SubmissionAttempts,29,2
1531,SubmissionAttempts,28,3
538,SubmissionAttempts,25,4
326,SubmissionAttempts,24,5
439,SubmissionAttempts,24,5
1137,SubmissionAttempts,23,7
1486,SubmissionAttempts,21,8
377,SubmissionAttempts,21,8
1044,SubmissionAttempts,21,8
2750,SubmissionAverage,5.23,1
1828,SubmissionAverage,3.03,2
1531,SubmissionAverage,2.84,3
2155,SubmissionAverage,2.66,4
2870,SubmissionAverage,2.60,5
2214,SubmissionAverage,2.33,6
2608,SubmissionAverage,2.27,7
2166,SubmissionAverage,2.22,8
2585,SubmissionAverage,2.12,9
524,SubmissionAverage,2.06,10
1936,SigStrikesLanded,1627,1
368,SigStrikesLanded,1567,2
451,SigStrikesLanded,1463,3
2280,SigStrikesLanded,1345,4
439,SigStrikesLanded,1313,5
532,SigStrikesLanded,1246,6
1076,SigStrikesLanded,1232,7
648,SigStrikesLanded,1225,8
538,SigStrikesLanded,1210,9
1495,SigStrikesLanded,1173,10
808,SigStrikesAccuracy,73.06,1
2215,SigStrikesAccuracy,65.60,2
2824,SigStrikesAccuracy,63.74,3
1347,SigStrikesAccuracy,62.41,4
235,SigStrikesAccuracy,61.01,5
2492,SigStrikesAccuracy,60.38,6
2076,SigStrikesAccuracy,58.91,7
1194,SigStrikesAccuracy,58.16,8
1618,SigStrikesAccuracy,57.91,9
497,SigStrikesAccuracy,57.62,10
235,KnockDowns,18,1
545,KnockDowns,18,1
1076,KnockDowns,17,3
457,KnockDowns,14,4
511,KnockDowns,13,5
535,KnockDowns,13,5
1966,KnockDowns,12,7
2057,KnockDowns,12,7
965,KnockDowns,11,9
1595,KnockDowns,11,9
2221,SLpM,7.56,1
1936,SLpM,6.90,2
1194,SLpM,6.81,3
2707,SLpM,6.69,4
2079,SLpM,6.58,5
2847,SLpM,6.54,6
497,SLpM,6.49,7
2492,SLpM,6.28,8
2824,SLpM,6.09,9
2280,SLpM,6.07,10
2466,SApM,0.82,1
1511,SApM,1.20,2
1044,SApM,1.31,3
2213,SApM,1.42,4
2177,SApM,1.43,5
439,SApM,1.45,6
1974,SApM,1.48,7
2231,SApM,1.59,8
2373,SApM,1.60,9
2017,SApM,1.61,10
1194,PlusMinus,4.84,1
497,PlusMinus,4.14,2
2492,PlusMinus,3.57,3
2824,PlusMinus,3.54,4
2280,PlusMinus,3.30,5
970,PlusMinus,3.20,6
2775,PlusMinus,3.15,7
2076,PlusMinus,2.97,8
1936,PlusMinus,2.87,9
2087,PlusMinus,2.83,10
2360,SigStrikingDefense,73.20,1
439,SigStrikingDefense,73.10,2
1194,SigStrikingDefense,72.70,3
2808,SigStrikingDefense,71.70,4
2872,SigStrikingDefense,71.50,5
1974,SigStrikingDefense,71.40,6
1675,SigStrikingDefense,71.00,7
1039,SigStrikingDefense,70.90,8
1057,SigStrikingDefense,70.90,8
451,SigStrikingDefense,70.10,10
439,TotStrikesLanded,2591,1
451,TotStrikesLanded,2099,2
1495,TotStrikesLanded,1956,3
368,TotStrikesLanded,1935,4
538,TotStrikesLanded,1926,5
361,TotStrikesLanded,1808,6
1936,TotStrikesLanded,1773,7
532,TotStrikesLanded,1767,8
1486,TotStrikesLanded,1739,9
1137,TotStrikesLanded,1690,10
